Title,Latitude,Longitude,categories,Info Title,Title Place,hashes,score,userScore,heart,title,category,address,roadAddress,mapx,mapy
오삼볶음집,37.520635,126.928985," 한식, 오삼볶음",오삼볶음집,여의도 ,"혼밥,불맛, 점심식사, 저녁식사, 배달",33,0.0,2,<b>오삼볶음집</b>,음식점>한식,서울특별시 영등포구 여의도동 44-21 중앙빌딩 2F,서울특별시 영등포구 국제금융로8길 19 중앙빌딩 2F,1269289849,375206350
대운설렁탕,37.498143,126.919713," 설렁탕, 꼬리찜",대운설렁탕,신길동 ,"가족외식,오래된맛집, 점심식사, 저녁식사, 좌식테이블",32,0.0,2,<b>대운설렁탕</b>,"한식>곰탕,설렁탕",서울특별시 영등포구 신길동 4224,서울특별시 영등포구 여의대방로23길 3,1269197125,374981429
송가네보쌈족발,37.534213,126.902766," 족발, 보쌈족발",송가네보쌈족발,당산역 ,"연말모임,서민적인, 점심식사, 저녁식사, 정원",32,3.0,0,<b>송가네보쌈족발</b> 본점,"한식>족발,보쌈",서울특별시 영등포구 당산동6가 237-42,서울특별시 영등포구 당산로48길 4,1269027659,375342132
송백식당,37.528489,126.899858," 백반, 제육볶음",송백식당,당산 ,"몸보신,서민적인",32,3.0,0,<b>송백식당</b>,음식점>한식,서울특별시 영등포구 당산동4가 32-100,서울특별시 영등포구 당산로38길 16,1268998580,375284884
신의주찹쌀순대 여의도1호점,37.525724,126.918049," 순댓국, 찹쌀순대",신의주찹쌀순대 여의도1호점,여의도 ,"혼밥,서민적인, 점심식사, 좌식",32,3.3,0,<b>신의주찹쌀순대 여의도1호점</b>,"한식>순대,순댓국",서울특별시 영등포구 여의도동 17 여의도 더샵 아일랜드파크,서울특별시 영등포구 의사당대로 38 여의도 더샵 아일랜드파크,1269182118,375255700
육수당,37.518451,126.889326," 국밥, 국밥집",육수당,문래동 ,"혼밥,줄서서먹는, 점심식사, 셀프바, 배달",31,4.0,2,팔도국밥 <b>육수당</b> 신길성애병원점,음식점>한식>국밥,서울특별시 영등포구 신길동 450-34,서울특별시 영등포구 영등포로84길 7,1269221876,375125521
대보름,37.528586,126.920591," 남도음식, 코스요리",대보름,여의도 ,"회식,푸짐한, 점심식사, 저녁식사",31,0.0,2,<b>대보름</b>,음식점>한식,서울특별시 영등포구 여의도동 14-35 금강빌딩 지하 1층,서울특별시 영등포구 국회대로70길 22 금강빌딩 지하 1층,1269205908,375285861
마포식당,37.520763,126.926944," 불고기, 오징어불고기",마포식당,여의도 ,"데이트,",31,0.0,1,<b>마포식당</b>,음식점>한식,서울특별시 영등포구 여의도동 36-2 여의도백화점 B1,서울특별시 영등포구 국제금융로6길 33 여의도백화점 B1,1269269444,375207631
콩두 양평역점,37.525353,126.889228," 꼬막비빔밥, 수제두부",콩두 양평역점,양평역 ,"데이트,다양한메뉴, 점심식사, 저녁식사",31,3.1,0,<b>콩두 양평역점</b>,한식>두부요리,서울특별시 영등포구 양평동3가 13 양평동 이노플렉스,서울특별시 영등포구 양산로 57-5 양평동 이노플렉스,1268892280,375253531
미선 돈가스백반정식,37.529067,126.921906," 돈가스, 백반",미선 돈가스백반정식,여의도 ,"해장,허름한, 점심식사",31,0.0,3,<b>미선돈가스백반정식</b>,음식점>한식,서울특별시 영등포구 여의도동 13-25 정우빌딩 지하 1층,서울특별시 영등포구 은행로 29 정우빌딩 지하 1층,1269219057,375290672
